id,trade_px,trade_volume,b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,order_date_time,trades_date_time,update_type
21,1189.22,0.232,1189.22,1188.92,1188.7,1188.63,1188.44,1190.69,1190.7,1191.3,1192.3,1193.32,0.92088,1.03688,1.8381,1.03688,1.2,0.01429121,4.58,1.99,1.8,1.03688,2017-04-07D00:02:24.578264000,2017-04-07D00:02:09.664183000,1
22,1189.22,0.232,1189.22,1188.92,1188.7,1188.63,1188.44,1190.7,1191.3,1192.3,1193.32,1193.5,0.92088,1.03688,1.8381,1.03688,1.2,4.58,1.99,1.8,1.03688,1.98,2017-04-07D00:02:38.970305000,2017-04-07D00:02:09.664183000,1
24,1189.22,0.232,1189.22,1188.92,1188.7,1188.63,1188.44,1190.69,1190.7,1191.3,1192.3,1193.32,0.92088,1.03688,1.8381,1.03688,1.2,0.01429121,4.58,1.99,1.8,1.03688,2017-04-07D00:02:50.063620000,2017-04-07D00:02:09.664183000,1
26,1189.22,0.232,1188.92,1188.7,1188.63,1188.44,1188.33,1190.69,1190.7,1191.3,1192.3,1193.5,1.03688,1.8381,1.03688,1.2,1.03688,0.01429121,4.58,1.99,1.8,1.98,2017-04-07D00:03:06.255189000,2017-04-07D00:02:09.664183000,1
27,1189.22,0.232,1188.7,1188.63,1188.44,1188.33,1188.12,1190.69,1190.7,1191.3,1192.06,1192.3,1.8381,1.03688,1.2,1.03688,1.2,0.01429121,4.58,1.99,1.038,1.8,2017-04-07D00:03:08.307752000,2017-04-07D00:02:09.664183000,1
28,1189.22,0.232,1188.7,1188.63,1188.44,1188.33,1188.12,1190.69,1191.3,1192.06,1192.3,1192.36,1.8381,1.03688,1.2,1.03688,1.2,0.01429121,1.99,1.038,1.8,1.038,2017-04-07D00:03:09.753584000,2017-04-07D00:02:09.664183000,1
29,1189.22,0.232,1188.7,1188.63,1188.44,1188.33,1188.12,1190.69,1191.3,1192.06,1192.3,1192.36,1.8381,1.03688,1.2,1.03688,1.2,4.124291,1.99,1.038,1.8,1.038,2017-04-07D00:03:16.190788000,2017-04-07D00:02:09.664183000,1
30,1189.22,0.232,1188.7,1188.44,1188.12,1187.97,1187.84,1190.69,1191.3,1192.06,1192.3,1192.36,1.8381,1.2,1.2,1.038,1.2,4.124291,1.99,1.038,1.8,1.038,2017-04-07D00:03:17.312130000,2017-04-07D00:02:09.664183000,1
34,1189.22,0.232,1189.15,1188.84,1188.7,1187.97,1187.84,1190.69,1191.3,1192.06,1192.3,1192.36,1.2,1.2,1.8381,1.038,1.2,4.124291,1.99,1.038,1.8,1.038,2017-04-07D00:03:36.115987000,2017-04-07D00:02:09.664183000,1
35,1189.22,0.232,1189.15,1188.84,1188.7,1187.97,1187.7,1190.69,1191.3,1192.06,1192.3,1192.36,1.2,1.2,3.0381,1.038,1.84,4.124291,1.99,1.038,1.8,1.038,2017-04-07D00:03:46.085992000,2017-04-07D00:02:09.664183000,1
37,1189.22,0.232,1189.15,1188.84,1188.7,1188.38,1187.97,1190.69,1191.3,1192.06,1192.3,1192.36,1.2,1.2,3.0381,1.2,1.038,4.11,1.99,1.038,1.8,1.038,2017-04-07D00:03:55.901087000,2017-04-07D00:02:09.664183000,1
38,1189.22,0.232,1189.15,1188.84,1188.7,1188.38,1187.97,1191.3,1192.06,1192.3,1192.36,1192.62,1.2,1.2,3.0381,1.2,1.038,1.99,1.038,1.8,1.038,1.03803,2017-04-07D00:04:00.650401000,2017-04-07D00:02:09.664183000,1
39,1189.22,0.232,1189.15,1188.84,1188.7,1188.38,1187.97,1190.69,1191.3,1192.06,1192.3,1192.36,1.2,1.2,3.0381,1.2,1.038,4.72,1.99,1.038,1.8,1.038,2017-04-07D00:04:05.020791000,2017-04-07D00:02:09.664183000,1
40,1191.3,1.98,1189.15,1188.84,1188.7,1188.38,1187.97,1190.69,1191.3,1192.06,1192.3,1192.36,1.2,1.2,3.0381,1.2,1.038,4.72,1.99,1.038,1.8,1.038,2017-04-07D00:04:05.020791000,2017-04-07D00:04:11.332871000,2
