id,trade_px,trade_volume,b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,order_date_time,trades_date_time,update_type
22,0,0,9155.9,9141.4,9123.9,9045.865,8904,9253.1,9283.1,9283.1,9314.6,9333.4,5,1.2,1.05,5,2.238618,1,5,1.18,1.14,1.13,2017-04-07D00:04:08.478808000,2000-01-01D00:00:00.000000000,1
23,0,0,9155.9,9141.4,9123.9,9045.865,8904,9253.1,9283.1,9283.1,9295.1,9314.6,5,1.2,1.05,5,2.238618,1,5,1.18,1.07,1.14,2017-04-07D00:04:09.530924000,2000-01-01D00:00:00.000000000,1
24,0,0,9155.9,9141.4,9123.9,9045.865,8904,9283.1,9283.1,9295.1,9314.6,9333.4,5,1.2,1.05,5,2.238618,5,1.18,1.07,1.14,1.13,2017-04-07D00:04:18.864738000,2000-01-01D00:00:00.000000000,1
25,0,0,9155.9,9141.4,9123.9,9045.865,8904,9263.2,9283.1,9283.1,9295.1,9314.6,5,1.2,1.05,5,2.238618,1.05,5,1.18,1.07,1.14,2017-04-07D00:04:19.898960000,2000-01-01D00:00:00.000000000,1
26,0,0,9155.9,9141.4,9123.9,9045.865,8904,9263.2,9283.1,9295.1,9314.6,9333.4,5,1.2,1.05,5,2.238618,1.05,1.18,1.07,1.14,1.13,2017-04-07D00:04:24.090812000,2000-01-01D00:00:00.000000000,1
27,0,0,9155.9,9141.4,9123.9,9045.865,8904,9263.2,9263.2,9283.1,9295.1,9314.6,5,1.2,1.05,5,2.238618,5,1.05,1.18,1.07,1.14,2017-04-07D00:04:25.125192000,2000-01-01D00:00:00.000000000,1
28,0,0,9155.9,9141.4,9123.9,9045.865,8904,9263.2,9271.6,9283.1,9314.6,9342.3,5,1.2,1.05,5,2.238618,5,1.18,1.18,1.14,1.18,2017-04-07D00:07:51.400379000,2000-01-01D00:00:00.000000000,1
29,0,0,9155.9,9141.4,9123.9,9045.865,8904,9263.2,9271.6,9283.1,9298.1,9314.6,5,1.2,1.05,5,2.238618,5,1.18,1.18,1.04,1.14,2017-04-07D00:08:02.675509000,2000-01-01D00:00:00.000000000,1
30,0,0,9155.9,9141.4,9123.9,9045.865,8904,9271.6,9283.1,9298.1,9314.6,9342.3,5,1.2,1.05,5,2.238618,1.18,1.18,1.04,1.14,1.18,2017-04-07D00:08:15.089741000,2000-01-01D00:00:00.000000000,1
31,0,0,9155.9,9141.4,9123.9,9045.865,8904,9271.6,9283.1,9298.1,9298.1,9314.6,5,1.2,1.05,5,2.238618,1.18,1.18,5,1.04,1.14,2017-04-07D00:08:16.121349000,2000-01-01D00:00:00.000000000,1
32,0,0,9155.9,9141.4,9123.9,9045.865,8904,9271.6,9298.1,9298.1,9314.6,9326,5,1.2,1.05,5,2.238618,1.18,5,1.04,1.14,1.2,2017-04-07D00:08:22.319834000,2000-01-01D00:00:00.000000000,1
33,0,0,9155.9,9141.4,9123.9,9045.865,8904,9298.1,9298.1,9314.6,9326,9342.3,5,1.2,1.05,5,2.238618,5,1.04,1.14,1.2,1.18,2017-04-07D00:08:33.679530000,2000-01-01D00:00:00.000000000,1
34,0,0,9155.9,9141.4,9123.9,9045.865,8904,9282.7,9298.1,9298.1,9314.6,9342.3,5,1.2,1.05,5,2.238618,1.19,5,1.04,1.14,1.18,2017-04-07D00:08:34.706311000,2000-01-01D00:00:00.000000000,1
35,0,0,9155.9,9141.4,9123.9,9045.865,8904,9272.3,9282.7,9298.1,9298.1,9314.6,5,1.2,1.05,5,2.238618,1.17,1.19,5,1.04,1.14,2017-04-07D00:08:46.033262000,2000-01-01D00:00:00.000000000,1
36,0,0,9155.9,9141.4,9123.9,9045.865,8904,9282.7,9298.1,9298.1,9314.6,9342.3,5,1.2,1.05,5,2.238618,1.19,5,1.04,1.14,1.18,2017-04-07D00:08:56.361903000,2000-01-01D00:00:00.000000000,1
37,0,0,9155.9,9141.4,9123.9,9045.865,8904,9282.7,9298.1,9298.1,9314.6,9328,5,1.2,1.05,5,2.238618,1.19,5,1.04,1.14,1.06,2017-04-07D00:09:07.693903000,2000-01-01D00:00:00.000000000,1
38,0,0,9155.9,9141.4,9123.9,9045.865,8904,9282.7,9298.1,9298.1,9314.6,9342.3,5,1.2,1.05,5,2.238618,1.19,5,1.04,1.14,1.18,2017-04-07D00:09:17.049650000,2000-01-01D00:00:00.000000000,1
39,0,0,9155.9,9141.4,9123.9,9045.865,8904,9282.7,9298.1,9298.1,9314.6,9328.8,5,1.2,1.05,5,2.238618,1.19,5,1.04,1.14,1.11,2017-04-07D00:10:11.990459000,2000-01-01D00:00:00.000000000,1
40,0,0,9155.9,9141.4,9123.9,9045.865,8904,9282.7,9298.1,9298.1,9314.6,9348.8,5,1.2,1.05,5,2.238618,1.19,5,1.04,1.14,1.01,2017-04-07D00:11:57.083009000,2000-01-01D00:00:00.000000000,1
41,0,0,9155.9,9141.4,9123.9,9045.865,8904,9298.1,9298.1,9314.6,9326.4,9348.8,5,1.2,1.05,5,2.238618,5,1.04,1.14,1.2,1.01,2017-04-07D00:12:07.363686000,2000-01-01D00:00:00.000000000,1
42,0,0,9155.9,9141.4,9123.9,9045.865,8904,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.2,1.05,5,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:12:18.840285000,2000-01-01D00:00:00.000000000,1
43,0,0,9155.9,9141.4,9123.9,9045.865,8904,9298.1,9298.1,9314.6,9325.8,9337.2,5,1.2,1.05,5,2.238618,5,1.04,1.14,1.09,1.15,2017-04-07D00:12:29.204265000,2000-01-01D00:00:00.000000000,1
44,0,0,9155.9,9141.4,9123.9,9045.865,8950,9298.1,9298.1,9314.6,9325.8,9337.2,5,1.2,1.05,5,1,5,1.04,1.14,1.09,1.15,2017-04-07D00:12:37.461864000,2000-01-01D00:00:00.000000000,1
45,0,0,9155.9,9141.4,9123.9,9045.865,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.2,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:12:50.854104000,2000-01-01D00:00:00.000000000,1
46,0,0,9141.4,9123.9,9045.865,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.2,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:12:56.066848000,2000-01-01D00:00:00.000000000,1
47,0,0,9155.9,9141.4,9123.9,9045.865,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.2,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:12:57.105436000,2000-01-01D00:00:00.000000000,1
48,0,0,9141.4,9123.9,9045.865,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.2,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:12:58.141967000,2000-01-01D00:00:00.000000000,1
49,0,0,9141.4,9123.9,9045.865,8950,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.2,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:12:59.169708000,2000-01-01D00:00:00.000000000,1
50,0,0,9141.4,9123.9,9045.865,8950,8950,9288.1,9298.1,9298.1,9314.6,9337.2,1.2,1.05,5,5,1.111751,1.07,5,1.04,1.14,1.15,2017-04-07D00:13:02.251446000,2000-01-01D00:00:00.000000000,1
51,0,0,9123.9,9045.865,8950,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.05,5,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:13:43.495833000,2000-01-01D00:00:00.000000000,1
52,0,0,9187.3,9123.9,9045.865,8950,8950,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:44.527839000,2000-01-01D00:00:00.000000000,1
53,0,0,9187.3,9123.9,8950,8950,8904,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:46.644601000,2000-01-01D00:00:00.000000000,1
54,0,0,9187.3,9123.9,8981.194,8950,8950,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:47.685264000,2000-01-01D00:00:00.000000000,1
55,0,0,9187.3,9123.9,8981.194,8950,8904,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:50.778665000,2000-01-01D00:00:00.000000000,1
56,0,0,9187.3,9187.3,9123.9,8981.194,8950,9298.1,9298.1,9314.6,9337.2,9349.8,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:51.806796000,2000-01-01D00:00:00.000000000,1
57,0,0,9187.3,9187.3,9123.9,8950,8904,9298.1,9298.1,9314.6,9337.2,9349.8,5,1.17,1.05,1.111751,2.238618,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:52.829142000,2000-01-01D00:00:00.000000000,1
58,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9349.8,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:53.907401000,2000-01-01D00:00:00.000000000,1
59,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.18,2017-04-07D00:13:59.103057000,2000-01-01D00:00:00.000000000,1
60,0,0,9187.3,9123.9,9043.603,8950,8950,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.18,2017-04-07D00:14:00.141203000,2000-01-01D00:00:00.000000000,1
61,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.18,2017-04-07D00:14:01.203013000,2000-01-01D00:00:00.000000000,1
62,0,0,9187.3,9123.9,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9349.8,1.17,5,1.05,5,1.111751,5,1.04,1.14,1.15,1.18,2017-04-07D00:14:02.230817000,2000-01-01D00:00:00.000000000,1
63,0,0,9187.3,9123.9,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,5,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:04.343988000,2000-01-01D00:00:00.000000000,1
64,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:06.456879000,2000-01-01D00:00:00.000000000,1
65,0,0,9187.3,9123.9,9043.603,8950,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:07.497654000,2000-01-01D00:00:00.000000000,1
66,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:08.545752000,2000-01-01D00:00:00.000000000,1
67,0,0,9187.3,9123.9,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,5,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:09.583007000,2000-01-01D00:00:00.000000000,1
68,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:10.651799000,2000-01-01D00:00:00.000000000,1
69,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:11.695050000,2000-01-01D00:00:00.000000000,1
70,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9351.6,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.04,2017-04-07D00:14:14.850811000,2000-01-01D00:00:00.000000000,1
71,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9351.6,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.04,2017-04-07D00:14:18.997429000,2000-01-01D00:00:00.000000000,1
72,0,0,9187.3,9123.9,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9351.6,1.17,5,1.05,5,1.111751,5,1.04,1.14,1.15,1.04,2017-04-07D00:14:20.035360000,2000-01-01D00:00:00.000000000,1
73,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9351.6,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.04,2017-04-07D00:14:23.138460000,2000-01-01D00:00:00.000000000,1
74,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9351.6,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.04,2017-04-07D00:14:24.187874000,2000-01-01D00:00:00.000000000,1
75,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:26.242280000,2000-01-01D00:00:00.000000000,1
76,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:29.325195000,2000-01-01D00:00:00.000000000,1
77,0,0,9187.3,9123.9,9043.603,8950,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:30.345448000,2000-01-01D00:00:00.000000000,1
78,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:31.373149000,2000-01-01D00:00:00.000000000,1
79,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:32.401643000,2000-01-01D00:00:00.000000000,1
80,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:33.433730000,2000-01-01D00:00:00.000000000,1
81,0,0,9187.3,9123.9,9043.603,8950,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:34.453101000,2000-01-01D00:00:00.000000000,1
82,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:35.501065000,2000-01-01D00:00:00.000000000,1
83,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:36.534827000,2000-01-01D00:00:00.000000000,1
84,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:37.571289000,2000-01-01D00:00:00.000000000,1
85,0,0,9187.3,9123.9,9043.603,8950,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:38.602874000,2000-01-01D00:00:00.000000000,1
86,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:39.623913000,2000-01-01D00:00:00.000000000,1
87,0,0,9187.3,9123.9,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,5,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:41.712269000,2000-01-01D00:00:00.000000000,1
88,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:42.737545000,2000-01-01D00:00:00.000000000,1
89,0,0,9187.3,9123.9,9043.603,8950,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:43.792601000,2000-01-01D00:00:00.000000000,1
90,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:44.829225000,2000-01-01D00:00:00.000000000,1
91,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:45.854432000,2000-01-01D00:00:00.000000000,1
92,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9351.5,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.18,2017-04-07D00:14:46.896388000,2000-01-01D00:00:00.000000000,1
93,0,0,9187.3,9187.3,9123.9,9043.603,8950,9298.1,9298.1,9314.6,9337.2,9365.4,5,1.17,1.05,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:14:58.310989000,2000-01-01D00:00:00.000000000,1
94,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:15:01.516176000,2000-01-01D00:00:00.000000000,1
95,0,0,9187.3,9123.9,9043.603,8950,8950,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,5,1.111751,5,1.04,1.14,1.15,1.02,2017-04-07D00:15:02.548651000,2000-01-01D00:00:00.000000000,1
96,0,0,9187.3,9123.9,9043.603,8950,8904,9298.1,9298.1,9314.6,9337.2,9365.4,1.17,1.05,5,1.111751,2.238618,5,1.04,1.14,1.15,1.02,2017-04-07D00:15:06.682946000,2000-01-01D00:00:00.000000000,1
